5,10,20,34,42,57
3,21,27,42,44,47
1,16,20,27,55,58
8,35,39,40,47,53
1,12,22,24,28,59
9,10,22,26,27,55
12,14,17,42,46,48
9,14,22,29,32,50
2,14,29,46,48,54
4,18,19,32,47,52
3,5,24,27,33,38
7,22,30,31,44,56
1,27,35,41,53,59
1,11,25,38,48,59
8,11,16,33,34,39
16,24,25,28,32,50
1,20,28,30,42,59
8,9,10,30,45,53
6,7,11,29,30,38
11,13,25,30,33,43
7,17,19,39,51,53
1,3,16,32,33,54
17,26,36,46,47,54
24,28,35,43,44,47
15,21,36,43,49,57
3,17,22,37,48,58
3,15,25,28,41,55
2,14,21,47,53,56
1,2,16,32,37,56
10,27,32,38,56,59
9,16,19,35,36,37
4,13,22,25,32,53
11,33,35,47,55,56
1,7,16,26,38,50
2,12,25,28,31,44
1,14,37,43,44,48
4,13,28,39,45,56
2,4,22,26,35,50
7,11,24,43,49,59
1,13,31,33,36,45
4,13,22,38,45,51
6,9,13,24,43,54
9,10,16,47,52,56
4,8,9,35,41,48
8,23,34,41,52,55
4,9,10,43,50,52
2,16,37,38,44,51
4,13,22,27,35,40
15,17,23,38,40,44
9,12,27,31,37,52
19,25,28,31,35,58
8,10,28,29,45,56
17,24,28,39,41,58
19,23,41,46,49,53
16,19,20,34,56,57
1,11,34,45,46,48
2,10,21,40,42,43
1,5,8,45,46,51
6,11,15,37,50,54
26,42,46,47,49,50
7,20,34,38,47,54
3,10,21,30,32,34
7,9,27,33,42,51
5,6,20,42,48,56
5,25,38,42,50,53
8,18,34,37,55,59
1,5,18,31,37,46
7,27,41,45,51,54
38,48,51,53,55,57
1,7,18,42,52,55
6,8,16,20,24,36
10,20,36,42,53,55
7,14,17,29,34,36
4,8,23,31,39,52
6,10,13,15,27,32
4,11,21,27,37,40
2,7,11,12,17,41
2,6,7,18,36,47
13,24,33,47,52,54
5,6,28,29,39,52
1,3,5,13,31,33
1,3,8,19,31,38
2,14,16,25,27,53
2,10,18,24,29,51
6,18,27,35,42,45
10,11,22,30,39,48
10,11,18,36,41,59
3,6,14,35,40,44
14,23,32,43,49,59
14,28,33,34,38,44
7,11,13,26,39,43
4,5,36,42,47,56
2,12,19,25,27,53
1,16,21,27,43,58
3,4,6,11,36,48
1,5,29,34,45,51
6,20,35,50,54,57
1,5,32,33,53,58
11,14,19,25,29,37
19,20,39,45,48,54
23,24,32,33,55,58
23,24,29,32,43,54
6,29,32,40,42,43
4,16,38,45,49,54
6,21,29,30,42,54
3,12,16,19,48,57
16,19,25,27,47,59
5,23,26,33,50,53
18,23,24,35,49,57
1,15,18,20,28,43
4,26,30,41,49,53
11,18,26,46,50,57
7,9,20,22,32,44
11,17,22,29,31,59
13,18,24,28,36,48
11,16,25,27,30,53
1,16,18,20,35,59
26,33,34,37,52,54
4,17,34,53,55,59
7,13,24,26,48,56
12,23,24,26,29,52
4,13,34,35,37,51
1,8,23,26,39,54
31,35,39,40,46,56
2,7,13,29,41,48
23,29,36,43,53,57
10,11,16,37,41,42
13,17,30,39,47,50
8,9,16,35,37,46
10,13,16,33,41,50
1,14,16,44,49,58
24,37,49,51,52,55
7,15,21,29,30,44
5,12,13,27,29,48
3,4,16,52,54,57
7,23,32,41,53,55
20,38,39,40,52,57
5,13,20,24,26,48
11,14,18,21,28,50
3,18,30,44,47,51
11,28,31,42,54,55
15,19,26,42,49,53
2,4,14,17,37,38
16,23,25,43,45,55
5,10,20,34,42,54
18,24,46,48,49,54
2,3,14,28,50,51
9,21,24,33,53,56
9,24,29,34,36,43
8,17,42,44,52,59
10,35,36,41,53,54
11,14,37,49,50,54
13,17,49,55,57,59
7,13,15,44,47,49
30,32,34,36,40,58
4,6,18,21,29,54
35,43,48,49,52,53
20,22,27,39,43,57
